dataset id,dataset name,total views,recent views (last 2 weeks)
88bb3b15-2c12-4b54-9ad2-e6236437d9ec,19112847-5u3i-2g4k-601lgtd459sv55,13,1
56229c92-9c23-4c2e-92c6-70095092c624,f8be342b-fc63-41dd-b2dc-32b2f6a7dd49,13,2
74eacda1-8361-4be3-94fe-fff809de6364,0f033a72-1429-4598-8733-cc7f314bc672,12,1
b30ba584-fa9c-44f9-99ef-b46298d9022e,a6f8cbbc-0f49-42da-9185-64bac61030b1,12,1
0a6316c3-dde4-4311-82d0-ff1c5250b200,ace42c4b-1f39-4fb2-b7ba-c500d06ed61e,12,3
94476814-d4a2-4035-9d30-d2d16f5b4776,6d476e38-beb6-4d3c-b2d2-d073e101d493,12,0
d50cb315-b647-4c2d-a659-e938342b2025,a31e62b2-e000-47ea-aeaa-f2d8e8cff0a1,12,1
52a98a9c-6f74-409f-9713-1a8d8de21cf3,7102cdcd-0298-42ab-b0cc-518054b4bb0f,12,4
b5943c14-1ab6-468b-9d04-9e51c4bedef4,a5d4fba9-58e1-4e11-8c27-f51fcdecf804,12,4
5f06a3e3-fe59-4486-a20e-5ce44dcf5e33,99314100-6o0z-3x0w-506sgqv160hn47,11,2
ef95f16c-9a09-4575-923e-a763284ef600,a0ada60d-237f-49d8-aa3e-6f1f73b5333d,11,2
edaa2487-5cbc-4771-8a07-2fe72e3f2326,fddd4fe7-b045-4258-ad74-50431259bdd6,11,1
305d443b-e373-4926-a951-bfad6a3193d8,3ac39dab-28be-4ccd-ab32-b339f41027d3,11,2
6ab3095c-6b7a-4def-b900-5aa70860ef03,80270409-9y2z-1z8e-916qdjc131lz62,11,0
92a1d1d1-7af2-4991-beef-48250e8a0860,4501efc8-9fe0-4a52-9a60-f2657a969c0b,11,0
95eeba4a-4887-4f50-aee0-3932ed06bf25,0d1dc49f-1e16-44eb-a681-0df9de5919c8,11,1
6f2ceab5-affa-4dfd-b8a9-0b78b1a3631c,5b10b491-23cc-4c20-9678-0921ea1b0008,11,1
d039e12b-ad79-4c1c-a633-75c72c5c7c8e,c9c2f202-69e5-4628-85b9-0e8f27c3a7af,11,1
d3c92b37-e42f-426f-a729-8da8cbf419b2,47370051-bc24-4009-b8e9-1652cefb5174,11,0
be2294b0-3786-4b43-a695-b8b3f2a9221d,96368335-3u1q-5v2g-519owxh905gu93,10,2
357b9260-96b2-4d92-8cd9-e135c3b51961,db38be5e-9a49-4a10-973c-025bb722d186,10,1
e9a7661e-3abb-4b15-8ff5-ce4902513aaa,49ed47a0-0cf6-4b1e-8ca1-aaae6d22ce65,10,1
32afb2e1-9d3e-463e-ab76-ab783ba69321,3648d7fe-d98b-4af0-805f-8e94d3621e9e,9,0
6170aa9e-8312-45c1-9b8a-aa4663a82479,44027478-b909-456f-b35d-fd4bc552b3c3,9,2
0c653108-21c1-429b-b46e-d337cf711f9e,01f6e57f-ef6f-48e0-b360-a6b2ce9a66e2,9,0
67f2f174-3b78-4cca-9862-53d846eab81d,d61025bf-c44b-4cdc-8829-69b8ea6c3bf3,9,0
4edf18e0-bc50-4c3c-8308-78f374625953,71941102-4l5m-3u8v-590dqly309tn26,9,0
c2040de8-7f45-48a9-b86e-77c24123aab0,30c680a2-0acb-4a99-bbbe-6dee428b3706,8,0
fd803c5e-22cc-42f8-9a37-bc6cbba4e0d0,b1c69a60-bdb5-451d-b41e-e70cfafb8e1f,8,0
acd29032-a650-48b6-bb18-20dce559a633,66964734-0i1g-1y6c-900vlzu276nf94,8,2
2d33e8ec-f652-451a-b1f3-859062ea5524,87ccbdf1-9071-4192-bb45-f840b8344fd5,8,0
30086c40-6ec7-4c4c-a421-759adfa8201d,031d736c-f4ef-49c0-8a84-e872ffb00603,8,2
27988e6d-d38d-4150-b70f-0f11cb99ea34,ca983b71-df22-431a-9d5f-94e77b835dd5,8,0
c942b7c7-2682-47ed-b564-c9a1e8a6ac6a,b1b5aa7b-9c00-4388-8aef-2808822a0d20,8,0
ba8206cf-5408-45de-824d-ce2bb0e20b0d,49573233-8k3l-6e3d-885euuc299hl41,8,0
ec5b3a04-05ec-4423-b718-0b36d861a15c,8b05da69-98c3-4cc9-8eee-ce6f5378dda9,8,0
0a8a411b-43e9-4128-bddb-e44b9cc4b8e2,1576f129-8436-4baa-8091-c486d7005968,8,1
b8b2bcef-c9e9-4985-bc38-a48264e132c4,5dd60b1d-3806-413f-99c5-618203e7f391,8,0
d9b1cc87-297d-4db4-92ff-6659e9664917,71fd2cc0-4b88-48af-8c82-e0d5ce6f4c18,8,0
5462d3be-2f5c-4147-9498-d9a4c92de388,484115a0-f435-4833-981d-374679d16d4e,8,0
a6236e10-d496-4a1c-bf92-22836f62affb,fb3d191b-252c-4c9c-87fa-4aeaac4b9277,8,0
8c19b363-b0d6-46fd-bc26-6e4e6575e80a,f781b1ff-1205-4e94-93c8-dbb3b8e5973c,8,0
601a4322-d3ad-4650-9287-428f9bec8124,557526aa-15e1-4621-ae8e-4c29c91f8aa1,8,1
bf6695ea-bfa9-4a45-b3bd-01473de408b8,be01f040-653d-4a5c-8d55-d511fac397ea,8,1
e8c9996c-0d20-4f80-9202-287e68572c52,7e9fbecd-8e5b-4abc-a889-6fc6d4abdd74,7,0
396ba8d6-e70a-4461-8e19-0069f0ecd78d,74271a65-7f2d-4b79-bcbd-8467e8ff973b,7,1
1f3c75eb-5f37-462d-a432-88939281984d,a2fc08f1-d847-41c3-a2b5-764c3e0a5813,7,1
e29a2258-977f-449d-b36b-9c2656c61a91,8cef6edb-3d70-4a14-b75a-0dfc05f98ca3,7,0
a430530e-fff4-4698-87fb-5a9d4513eec5,1038720-7z7o-9v8k-515nmok778dq64,7,0
671e296e-bc2c-43a2-bb45-66ac78f14135,e4afe501-b43f-4d93-904b-2d76213fa0a9,7,0
0321af77-53fc-4063-a91a-1284d6ade4be,52b478da-8028-4e97-9f97-35b7a56ded60,7,0
4f67f6ef-caaf-4519-b1e2-8a611247f6db,b9e38866-c7b0-4314-a640-c9c08a2a7658,7,0
433ce216-dcbb-4a1e-9b09-74ad216eb178,d2334413-a568-4b41-9d2c-f10039b92297,6,0
834b9c5c-1f51-4c5e-a991-ec5122fb0e63,be6d0390-258d-4f1e-87ac-54c6fb8b72c7,6,0
9672ae0b-c7de-47e6-b72f-b511eac4c596,bd9c3e14-5675-4cfa-bc2f-a947973403ad,6,0
